subst:sg:acc:m2 a  2 1.00
subst:pl:inst:m2 ami  2 1.00
subst:pl:inst:m3 -Kumami -Kum 2 1.00
subst:pl:inst:m3 -ami  8 1.00
subst:pl:inst:m3 Kumami Kum 2 1.00
subst:pl:inst:m3 L-ami L 2 1.00
subst:pl:inst:m3 N-ami N 5 1.00
subst:pl:inst:m3 achami ach 4 1.00
subst:pl:inst:m3 aczami acz 6 1.00
subst:pl:inst:m3 aczowami aczów 4 1.00
subst:pl:inst:m3 adami ad 12 1.00
subst:pl:inst:m3 adorami ador 4 1.00
subst:pl:inst:m3 adosami ados 2 1.00
subst:pl:inst:m3 adowami adów 4 1.00
subst:pl:inst:m3 ajami aj 9 1.00
subst:pl:inst:m3 akami ak 2 1.00
subst:pl:inst:m3 akowami aków 6 1.00
subst:pl:inst:m3 alami al 7 1.00
subst:pl:inst:m3 aldami ald 3 1.00
subst:pl:inst:m3 alinami alin 3 1.00
subst:pl:inst:m3 amami am 7 1.00
subst:pl:inst:m3 ambułami ambuł 2 1.00
subst:pl:inst:m3 ami  559 0.53
subst:pl:inst:m3 amowami amów 2 1.00
subst:pl:inst:m3 anami an 32 1.00
subst:pl:inst:m3 andami and 3 1.00
subst:pl:inst:m3 aniami ań 12 1.00
subst:pl:inst:m3 anowami anów 31 1.00
subst:pl:inst:m3 arami ar 5 1.00
subst:pl:inst:m3 ardami ard 4 1.00
subst:pl:inst:m3 aretami aret 2 1.00
subst:pl:inst:m3 arkami ark 4 1.00
subst:pl:inst:m3 arowami arów 2 1.00
subst:pl:inst:m3 asami as 9 1.00
subst:pl:inst:m3 asburgami asburg 2 1.00
subst:pl:inst:m3 aszowami aszów 3 1.00
subst:pl:inst:m3 atami at 4 1.00
subst:pl:inst:m3 atowami atów 3 1.00
subst:pl:inst:m3 atynami atyn 2 1.00
subst:pl:inst:m3 awiami aw 13 1.00
subst:pl:inst:m3 awowami awów 2 1.00
subst:pl:inst:m3 azami az 3 1.00
